method,n,r,c,paths,ML,MPL,total_edges
SAP,100,0.2,2,21,20.285714285714285,0.6761904761904761,491
DFS,100,0.2,2,11,9.181818181818182,0.30606060606060603,491
MAXCAP,100,0.2,2,16,13.125,0.4375,491
RANDOM,100,0.2,2,8,9.25,0.30833333333333335,491
SAP,100,0.2,50,1,17.0,1.0625,494
DFS,100,0.2,50,1,12.0,0.75,494
MAXCAP,100,0.2,50,1,17.0,1.0625,494
RANDOM,100,0.2,50,1,13.0,0.8125,494
SAP,100,0.3,2,23,12.652173913043478,1.150197628458498,1074
DFS,100,0.3,2,13,6.3076923076923075,0.5734265734265734,1074
MAXCAP,100,0.3,2,18,13.222222222222221,1.202020202020202,1074
RANDOM,100,0.3,2,11,7.545454545454546,0.6859504132231405,1074
SAP,100,0.3,50,81,19.02469135802469,1.358906525573192,1013
DFS,100,0.3,50,21,7.190476190476191,0.5136054421768708,1013
MAXCAP,100,0.3,50,14,14.142857142857142,1.010204081632653,1013
RANDOM,100,0.3,50,22,8.772727272727273,0.6266233766233766,1013
SAP,200,0.2,2,81,32.592592592592595,1.3037037037037038,2020
DFS,200,0.2,2,11,6.454545454545454,0.2581818181818182,2020
MAXCAP,200,0.2,2,26,14.307692307692308,0.5723076923076923,2020
RANDOM,200,0.2,2,12,8.416666666666666,0.33666666666666667,2020
SAP,200,0.2,50,160,26.2375,1.5433823529411765,2010
DFS,200,0.2,50,38,8.842105263157896,0.5201238390092879,2010
MAXCAP,200,0.2,50,28,19.321428571428573,1.1365546218487397,2010
RANDOM,200,0.2,50,41,11.292682926829269,0.6642754662840746,2010
SAP,200,0.3,2,95,17.842105263157894,0.8921052631578947,4137
DFS,200,0.3,2,25,5.56,0.27799999999999997,4137
MAXCAP,200,0.3,2,23,10.217391304347826,0.5108695652173914,4137
RANDOM,200,0.3,2,24,6.666666666666667,0.33333333333333337,4137
SAP,200,0.3,50,432,21.79861111111111,2.422067901234568,4164
DFS,200,0.3,50,63,6.7936507936507935,0.7548500881834215,4164
MAXCAP,200,0.3,50,33,7.393939393939394,0.8215488215488215,4164
RANDOM,200,0.3,50,71,8.112676056338028,0.9014084507042254,4164
